time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
219.5,1,0,0,0,0,0.136353,3,0,0,0.0191337,331,0.0024643,331,0.0038027,331,0.0128526,331,0,0,1.86e-05,331,0.0001875,21,0.00018,41,0.0007807,331,0.0002967,331,0.0004809,331,0,0,0.0001779,5,0.0001942,326,0.0002576,331,0.00037,331,0.0001952,331,2.63e-05,331,0.0045955,331,0,0,0.0033769,331,0.0010621,331,15557,331
319.5,1,20,6,1.2,0.12,0.259677,2,0,0,0.0421251,531,0.0026629,531,0.0064317,531,0.0330073,531,0,0,3.04e-05,531,0.0006803,37,0.0002901,66,0.001356,531,0.0005044,531,0.0010456,531,0.0017912,3,0.0003553,6,0.0003631,524,0.0008321,531,0.0006713,531,0.0002924,531,7.65e-05,531,0.0141124,531,0,0,0.0067703,531,0.0070282,531,55156,531
419.5,1,0,4.2,1.8,0.288,0.37569,1,0,0,0.0740432,731,0.0028022,731,0.0088492,731,0.0623594,731,0,0,4.21e-05,731,0.0048064,182,0.0003822,91,0.0019323,731,0.0007424,731,0.0017266,731,0.0017912,3,0.0003553,6,0.0004924,724,0.002631,731,0.0010039,731,0.0003669,731,0.0001028,731,0.0270922,731,0,0,0.0106392,731,0.0159728,731,120913,731
519.5,1,0,2.94,2.028,0.462,0.259264,0,0,0,0.0997455,931,0.0029441,931,0.011492,931,0.0852667,931,0,0,5.27e-05,931,0.0065283,242,0.0004798,116,0.002515,931,0.0010076,931,0.0023878,931,0.0017912,3,0.0003645,7,0.0006136,924,0.0033573,931,0.0013432,931,0.0004925,931,0.0001323,931,0.0411536,931,0,0,0.0150189,931,0.0254047,931,186242,931
619.5,1,0,2.058,2.034,0.6192,0.27644,0,0,0,0.129303,1131,0.0031171,1131,0.0141376,1131,0.111992,1131,0,0,6.74e-05,1131,0.0067307,255,0.0006583,141,0.0030389,1131,0.0012303,1131,0.0030827,1131,0.0024977,5,0.0004679,9,0.00073,1121,0.0041995,1131,0.0017139,1131,0.0006065,1131,0.0001579,1131,0.0599452,1131,0,0,0.0198869,1131,0.0390162,1131,271021,1131
719.5,1,0,1.4406,1.91532,0.748812,0.279128,0,0,0,0.159941,1331,0.0032941,1331,0.016739,1331,0.139841,1331,0,0,8.07e-05,1331,0.0069191,268,0.0008237,166,0.0035475,1331,0.0014699,1331,0.00377,1331,0.0031368,7,0.0005774,11,0.0008481,1317,0.005216,1331,0.0021337,1331,0.0007247,1331,0.0001819,1331,0.0801291,1331,0,0,0.0247839,1331,0.0539171,1331,363498,1331
819.5,1,0,1.00842,1.73394,0.847325,0.230428,0,0,0,0.188187,1531,0.0034757,1531,0.0193291,1531,0.165303,1531,0,0,9.42e-05,1531,0.0070874,280,0.0010224,191,0.0040369,1531,0.0017294,1531,0.0045732,1531,0.0045347,11,0.0007856,16,0.0010053,1509,0.0065169,1531,0.0025285,1531,0.0008293,1531,0.0002069,1531,0.0959152,1531,0,0,0.0297084,1531,0.0644613,1531,433024,1531
919.5,1,0,0.705894,1.52833,0.915425,0.297078,0,0,0,0.218972,1731,0.0037167,1731,0.0220787,1731,0.193086,1731,0,0,0.0001356,1731,0.0075726,304,0.0011635,216,0.0045994,1731,0.0020189,1731,0.0054776,1731,0.0049535,12,0.000829,18,0.0011173,1694,0.0075932,1731,0.0030284,1731,0.0009462,1731,0.0002938,1731,0.114507,1731,0,0,0.0352731,1731,0.0772182,1731,512552,1731
1019.5,1,0,0.494126,1.32149,0.956032,0.37974,0,0,0,0.250838,1931,0.0039577,1931,0.0248702,1931,0.22191,1931,0,0,0.0002046,1931,0.0082937,335,0.00129,241,0.0052056,1931,0.0023129,1931,0.0063512,1931,0.0052987,13,0.0008771,21,0.0012302,1875,0.0087051,1931,0.0037145,1931,0.0010639,1931,0.0003912,1931,0.133586,1931,0,0,0.0408589,1931,0.090422,1931,595950,1931
1119.5,1,0,0.345888,1.12637,0.973066,0.300289,0,0,0,0.284312,2131,0.0041676,2131,0.0274974,2131,0.252536,2131,0,0,0.0002177,2131,0.008485,348,0.0015201,266,0.0056839,2131,0.0026144,2131,0.0070533,2131,0.0070094,19,0.0010374,23,0.0013823,2065,0.0104364,2131,0.0042133,2131,0.001163,2131,0.0004159,2131,0.153256,2131,0,0,0.0467407,2131,0.103836,2131,678101,2131
