time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
115,1,0,0,0,0,0.126587,1,0,0,0.013732,188,0.0046442,188,0.0006607,188,0.008418,188,0,0,1.01e-05,188,0.0001066,13,9.85e-05,23,0.0004181,188,0.0001358,188,0.0002294,188,0,0,0.0003192,8,0.0001147,182,0.0001581,188,0.000191,188,9.6e-05,188,1.45e-05,188,0.002212,188,0,0,0.0015491,188,0.000582,188,8836,188
215,1,13,3.9,0.78,0.078,0.170249,1,0,0,0.0331511,388,0.0050496,388,0.0016509,388,0.0264323,388,0,0,2.22e-05,388,0.0002057,26,0.000186,48,0.0009646,388,0.0003231,388,0.0007145,388,0.0004446,1,0.0003192,8,0.0002526,381,0.0003081,388,0.0004866,388,0.0001879,388,3.21e-05,388,0.0090685,388,0,0,0.0038862,388,0.004977,388,30964,388
315,1,0,2.73,1.17,0.1872,0.517423,1,0,0,0.0663969,588,0.0052278,588,0.0028035,588,0.0583389,588,0,0,3.64e-05,588,0.002754,102,0.0003138,73,0.0016601,588,0.0005338,588,0.001376,588,0.0016668,3,0.0003192,8,0.0004084,580,0.0016513,588,0.000803,588,0.0002965,588,5.99e-05,588,0.0239618,588,0,0,0.0083667,588,0.0150784,588,80141,588
415,1,0,1.911,1.3182,0.3003,0.357582,1,0,0,0.0989783,788,0.0054783,788,0.0036605,788,0.0898027,788,0,0,4.9e-05,788,0.0058008,226,0.0003939,98,0.0022363,788,0.0007218,788,0.0020269,788,0.0016668,3,0.0003192,8,0.0005239,780,0.0029128,788,0.0010798,788,0.0003794,788,7.97e-05,788,0.0382401,788,0,0,0.0123626,788,0.0252332,788,142788,788
515,1,0,1.3377,1.3221,0.40248,0.19347,0,0,0,0.118957,988,0.0056257,988,0.0044563,988,0.108828,988,0,0,6.21e-05,988,0.0060237,244,0.0004824,123,0.0028225,988,0.0008891,988,0.0026122,988,0.0016668,3,0.0003192,8,0.0006344,980,0.003071,988,0.0013429,988,0.0004943,988,9.97e-05,988,0.0524374,988,0,0,0.0165891,988,0.034996,988,204934,988
615,1,0,0.93639,1.24496,0.486728,0.195345,0,0,0,0.138876,1188,0.0057844,1188,0.0052436,1188,0.127792,1188,0,0,7.65e-05,1188,0.0061522,256,0.0005673,148,0.0034165,1188,0.0010587,1188,0.003213,1188,0.0016668,3,0.0003497,9,0.0007433,1180,0.0032125,1188,0.0016071,1188,0.0006065,1188,0.0001149,1188,0.066716,1188,0,0,0.0208544,1188,0.0448045,1188,266734,1188
715,1,0,0.655473,1.12706,0.550761,0.183418,0,0,0,0.158491,1388,0.0059342,1388,0.0060242,1388,0.146468,1388,0,0,9e-05,1388,0.0062848,269,0.0006579,173,0.004005,1388,0.0012238,1388,0.0037983,1388,0.0016668,3,0.0003497,9,0.0008534,1380,0.0033226,1388,0.001868,1388,0.0007182,1388,0.0001306,1388,0.0809569,1388,0,0,0.0251145,1388,0.0545879,1388,328534,1388
815,1,0,0.458831,0.993415,0.595026,0.178493,0,0,0,0.177456,1588,0.0060833,1588,0.0067699,1588,0.164529,1588,0,0,0.0001026,1588,0.0064021,281,0.0007417,198,0.0045506,1588,0.0013832,1588,0.0043894,1588,0.0016668,3,0.0003497,9,0.0010992,1580,0.0034352,1588,0.0021226,1588,0.0008281,1588,0.0001445,1588,0.0946339,1588,0,0,0.0291151,1588,0.064073,1588,390334,1588
915,1,0,0.321182,0.858968,0.621421,0.206269,0,0,0,0.198463,1788,0.0062357,1788,0.0075704,1788,0.184574,1788,0,0,0.0001149,1788,0.0065401,294,0.0008346,223,0.005077,1788,0.0015499,1788,0.0050079,1788,0.0016668,3,0.0004148,10,0.0012088,1780,0.0035823,1788,0.0023959,1788,0.0009417,1788,0.0001592,1788,0.10945,1788,0,0,0.0335781,1788,0.0742273,1788,454487,1788
1015,1,1,0.524827,0.79214,0.638493,0.244231,0,0,0,0.22007,1988,0.0064488,1988,0.0084285,1988,0.205101,1988,0,0,0.0001286,1988,0.0066799,306,0.0009228,248,0.005628,1988,0.0017257,1988,0.0056657,1988,0.0016668,3,0.0004148,10,0.0013253,1980,0.0037011,1988,0.0026614,1988,0.0010615,1988,0.0001748,1988,0.124999,1988,0,0,0.0382061,1988,0.0849431,1988,519487,1988
1115,1,0,0.367379,0.707188,0.645362,0.210256,0,0,0,0.240969,2188,0.0065973,2188,0.0092892,2188,0.224981,2188,0,0,0.0001421,2188,0.0068101,319,0.0010117,273,0.0061589,2188,0.0018984,2188,0.0062946,2188,0.0016668,3,0.0004148,10,0.001443,2180,0.0038172,2188,0.0029277,2188,0.0011808,2188,0.0001901,2188,0.140319,2188,0,0,0.0427408,2188,0.095495,2188,584487,2188
1215,1,0,0.257165,0.617184,0.642544,0.21132,0,0,0,0.26194,2388,0.0067454,2388,0.0101079,2388,0.244976,2388,0,0,0.0001553,2388,0.0069429,331,0.0010987,298,0.0066776,2388,0.0020704,2388,0.0069252,2388,0.0016668,3,0.0004148,10,0.0015548,2380,0.0039331,2388,0.0032054,2388,0.0013196,2388,0.0002059,2388,0.155727,2388,0,0,0.0472543,2388,0.106181,2388,649487,2388
1315,1,0,0.180016,0.52975,0.631265,0.205881,0,0,0,0.282425,2588,0.006893,2588,0.010956,2588,0.264455,2588,0,0,0.0001685,2588,0.0070832,344,0.0011865,323,0.0072121,2588,0.0022344,2588,0.0075595,2588,0.0016668,3,0.0004148,10,0.0016711,2580,0.0040452,2588,0.0034827,2588,0.0014575,2588,0.0002231,2588,0.170781,2588,0,0,0.0516135,2588,0.116638,2588,714487,2588
1415,1,0,0.126011,0.449002,0.613039,0.209456,0,0,0,0.302409,2788,0.0070413,2788,0.0117377,2788,0.283501,2788,0,0,0.0001816,2788,0.0072051,356,0.0012705,348,0.0077134,2788,0.0023997,2788,0.0081736,2788,0.0016668,3,0.0004148,10,0.0018025,2780,0.0041592,2788,0.0037421,2788,0.0015827,2788,0.0002542,2788,0.185728,2788,0,0,0.0559358,2788,0.127028,2788,779487,2788
1515,1,0,0.0882077,0.376843,0.589419,0.191756,0,0,0,0.322244,2988,0.0071857,2988,0.0125306,2988,0.302389,2988,0,0,0.0001952,2988,0.0073341,369,0.0013546,373,0.0082131,2988,0.002563,2988,0.0087745,2988,0.0016668,3,0.0004148,10,0.0019127,2980,0.00427,2988,0.0039926,2988,0.0016938,2988,0.0002694,2988,0.20026,2988,0,0,0.0601766,2988,0.137117,2988,844487,2988
1615,1,0,0.0617454,0.313824,0.56186,0.199131,0,0,0,0.342481,3188,0.007337,3188,0.013327,3188,0.32167,3188,0,0,0.0002087,3188,0.0074567,381,0.0014406,398,0.0087218,3188,0.0027269,3188,0.0094005,3188,0.0016668,3,0.0004148,10,0.0020238,3180,0.0043872,3188,0.0042463,3188,0.0018077,3188,0.000286,3188,0.215098,3188,0,0,0.0644888,3188,0.147432,3188,909487,3188
1715,1,0,0.0432218,0.259703,0.531644,0.206293,0,0,0,0.365895,3388,0.0074996,3388,0.0141803,3388,0.344058,3388,0,0,0.0002247,3388,0.0078236,399,0.0015324,423,0.0092644,3388,0.0029037,3388,0.0100306,3388,0.0016668,3,0.0004148,10,0.0021379,3378,0.004613,3388,0.0045776,3388,0.0019211,3388,0.0003089,3388,0.230698,3388,0,0,0.069142,3388,0.15818,3388,976562,3388
1815,1,0,0.0302552,0.213814,0.499861,0.21703,0,0,0,0.388179,3588,0.0076528,3588,0.015051,3588,0.365309,3588,0,0,0.0002398,3588,0.007984,411,0.0016232,448,0.0098161,3588,0.003078,3588,0.0106827,3588,0.0016668,3,0.0004148,10,0.0022525,3578,0.0047341,3588,0.0048447,3588,0.0020415,3588,0.000356,3588,0.247393,3588,0,0,0.0741923,3588,0.169601,3588,1045162,3588
1915,1,0,0.0211787,0.175287,0.467404,0.213956,0,0,0,0.409235,3788,0.0078004,3788,0.015895,3788,0.385364,3788,0,0,0.0002532,3788,0.0081545,424,0.0017097,473,0.0103338,3788,0.0032419,3788,0.011301,3788,0.0016668,3,0.0004148,10,0.0023664,3778,0.0048491,3788,0.0050953,3788,0.0021661,3788,0.0003725,3788,0.263227,3788,0,0,0.0789399,3788,0.18046,3788,1113762,3788
2015,1,0,0.0148251,0.143194,0.434983,0.192168,0,0,0,0.429401,3988,0.0079544,3988,0.0166531,3988,0.40461,3988,0,0,0.0002669,3988,0.008298,436,0.0017946,498,0.0108274,3988,0.0034029,3988,0.0118912,3988,0.0016668,3,0.0004148,10,0.0024778,3978,0.0049592,3988,0.0053375,3988,0.0022957,3988,0.0003888,3988,0.278382,3988,0,0,0.08346,3988,0.190864,3988,1182362,3988
2115,1,0,0.0103775,0.116631,0.403147,0.194369,0,0,0,0.450531,4188,0.0081042,4188,0.0174709,4188,0.424762,4188,0,0,0.0002799,4188,0.008484,449,0.0018821,523,0.011342,4188,0.0035938,4188,0.012507,4188,0.0016668,3,0.0004148,10,0.0025908,4178,0.0050742,4188,0.0055885,4188,0.0024105,4188,0.000405,4188,0.294203,4188,0,0,0.0882692,4188,0.201654,4188,1250962,4188
2215,1,0,0.00726428,0.0947577,0.372308,0.22312,0,0,0,0.471895,4388,0.0082554,4388,0.0182784,4388,0.445158,4388,0,0,0.0002947,4388,0.0087222,465,0.0019663,548,0.0118593,4388,0.0037572,4388,0.01311,4388,0.0016668,3,0.0004148,10,0.0026999,4378,0.0052335,4388,0.0058438,4388,0.0025203,4388,0.0004202,4388,0.309601,4388,0,0,0.0928901,4388,0.21221,4388,1319581,4388
2315,1,0,0.005085,0.0768231,0.34276,0.210807,0,0,0,0.493042,4588,0.0084009,4588,0.0190623,4588,0.465367,4588,0,0,0.0003072,4588,0.0088827,478,0.0020527,573,0.0123631,4588,0.0039211,4588,0.0137328,4588,0.0016668,3,0.0004148,10,0.0028094,4578,0.0053475,4588,0.0060912,4588,0.0026431,4588,0.0004367,4588,0.325396,4588,0,0,0.0976159,4588,0.223064,4588,1388181,4588
2415,1,0,0.0035595,0.0621704,0.314701,0.210044,0,0,0,0.513549,4788,0.0085347,4788,0.0198221,4788,0.484971,4788,0,0,0.0003212,4788,0.0090234,490,0.0021355,598,0.0128494,4788,0.0040778,4788,0.0143228,4788,0.0016668,3,0.0004148,10,0.0029184,4778,0.0054972,4788,0.0063347,4788,0.0027527,4788,0.0004525,4788,0.340414,4788,0,0,0.102083,4788,0.2334,4788,1456889,4788
2515,1,0,0.00249165,0.0502347,0.288254,0.200683,0,0,0,0.53481,4988,0.0086751,4988,0.0205654,4988,0.505338,4988,0,0,0.0003337,4988,0.0091749,504,0.00223,623,0.0133364,4988,0.0042396,4988,0.0149157,4988,0.0016668,3,0.0004148,10,0.0030298,4978,0.0056364,4988,0.0065948,4988,0.0028675,4988,0.0004673,4988,0.355772,4988,0,0,0.106517,4988,0.244123,4988,1527140,4988
2615,1,0,0.00174415,0.0405366,0.263483,0.219283,0,0,0,0.556667,5188,0.0088243,5188,0.0213517,5188,0.526251,5188,0,0,0.0003474,5188,0.009299,516,0.0023122,648,0.013857,5188,0.0044156,5188,0.0155718,5188,0.0016668,3,0.0004501,11,0.0031472,5178,0.005775,5188,0.006846,5188,0.0029778,5188,0.0004832,5188,0.371894,5188,0,0,0.111079,5188,0.255459,5188,1598540,5188
