time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
80,1,0,0,0,0,0.133545,3,0,0,0.009241,127,0.0024648,127,0.0004939,127,0.0062781,127,0,0,7.3e-06,127,7.75e-05,10,6.66e-05,16,0.0002709,127,0.0001175,127,0.000141,127,3.37e-05,2,0.0002188,6,8.02e-05,121,0.0001185,127,0.000145,127,6.53e-05,127,1.64e-05,127,0.0015302,127,0,0,0.001148,127,0.000322,127,5969,127
180,1,3,0.9,0.18,0.018,0.294799,2,0,0,0.0334079,327,0.0027032,327,0.0013783,327,0.0293134,327,0,0,1.95e-05,327,0.0003833,26,0.0001813,41,0.0008445,327,0.0003447,327,0.0007197,327,0.0007883,5,0.001153,13,0.0002442,319,0.0006519,327,0.0004311,327,0.0001633,327,4.01e-05,327,0.0124656,327,0,0,0.0046916,327,0.0075299,327,51649,327
280,1,3,1.53,0.45,0.0612,0.553063,2,0,0,0.0741099,527,0.0033203,527,0.0023986,527,0.068368,527,0,0,3.42e-05,527,0.0047236,171,0.0002777,66,0.0015072,527,0.0005982,527,0.0015281,527,0.0007883,5,0.001153,13,0.000377,519,0.0025196,527,0.000741,527,0.0002448,527,6.51e-05,527,0.0305829,527,0,0,0.009738,527,0.0204715,527,123982,527
380,1,0,1.071,0.5742,0.1125,0.391675,0,0,0,0.110071,727,0.0036539,727,0.0035527,727,0.102832,727,0,0,4.92e-05,727,0.0065406,227,0.000389,91,0.0022533,727,0.000863,727,0.0024259,727,0.0007883,5,0.001222,14,0.00052,719,0.0033016,727,0.0011084,727,0.0003679,727,0.0001064,727,0.0529792,727,0,0,0.0163204,727,0.0360707,727,195890,727
480,1,0,0.7497,0.6093,0.16218,0.386186,0,0,0,0.146076,927,0.0038594,927,0.0047097,927,0.137464,927,0,0,6.47e-05,927,0.0068185,241,0.0005874,116,0.0029017,927,0.0011102,927,0.003246,927,0.0017096,8,0.0013227,16,0.0006512,915,0.0041243,927,0.0015121,927,0.0005065,927,0.0001286,927,0.0782483,927,0,0,0.0229083,927,0.0544455,927,279231,927
580,1,0,0.52479,0.592398,0.205202,0.430212,0,0,0,0.182126,1127,0.0040586,1127,0.0058201,1127,0.172196,1127,0,0,8.29e-05,1127,0.0070564,256,0.0007408,141,0.0035156,1127,0.0013654,1127,0.0040528,1127,0.0017096,8,0.0013227,16,0.0007912,1112,0.0050242,1127,0.0020274,1127,0.0006426,1127,0.000151,1127,0.104821,1127,0,0,0.0287135,1127,0.0749091,1127,372686,1127
680,1,0,0.367353,0.547389,0.23942,0.345451,0,0,0,0.218088,1327,0.0042887,1327,0.0068111,1327,0.206928,1327,0,0,9.61e-05,1327,0.007253,269,0.0009577,166,0.004085,1327,0.0016454,1327,0.0048117,1327,0.0029253,12,0.0015472,22,0.0009224,1304,0.0064301,1327,0.0024569,1327,0.0007706,1327,0.0001727,1327,0.128601,1327,0,0,0.0350317,1327,0.0920919,1327,453744,1327
780,1,0,0.257147,0.489341,0.264412,0.370688,0,0,0,0.256211,1527,0.0044956,1527,0.0081133,1527,0.243533,1527,0,0,0.0001116,1527,0.0075252,282,0.0012155,191,0.0047122,1527,0.0019956,1527,0.0058057,1527,0.0044559,16,0.0017745,26,0.0011008,1496,0.0079606,1527,0.0029117,1527,0.0009013,1527,0.0001952,1527,0.153124,1527,0,0,0.042348,1527,0.109024,1527,531248,1527
880,1,0,0.180003,0.427473,0.280719,0.370762,0,0,0,0.293067,1727,0.0047311,1727,0.009222,1727,0.279036,1727,0,0,0.0001438,1727,0.0079655,301,0.0013804,216,0.0054861,1727,0.0023678,1727,0.0069199,1727,0.0044559,16,0.0018726,29,0.0012345,1685,0.0087751,1727,0.0034852,1727,0.0010317,1727,0.0002529,1727,0.178588,1727,0,0,0.049996,1727,0.126546,1727,613038,1727
980,1,0,0.126002,0.367179,0.289365,0.356211,0,0,0,0.328919,1927,0.0049715,1927,0.0102395,1927,0.313621,1927,0,0,0.0001762,1927,0.0086001,326,0.001554,241,0.0062295,1927,0.002707,1927,0.00804,1927,0.0044559,16,0.0018917,30,0.0013611,1876,0.009448,1927,0.0040719,1927,0.0011575,1927,0.0003627,1927,0.202911,1927,0,0,0.0574466,1927,0.14312,1927,694081,1927
1080,1,0,0.0882014,0.311383,0.291566,0.357923,0,0,0,0.362441,2127,0.0051724,2127,0.0112117,2127,0.345959,2127,0,0,0.0002019,2127,0.0090713,348,0.0016624,266,0.0070671,2127,0.0030552,2127,0.0091666,2127,0.0044559,16,0.0018917,30,0.0014896,2068,0.0099732,2127,0.0045819,2127,0.0012859,2127,0.0004332,2127,0.226428,2127,0,0,0.064303,2127,0.159478,2127,774611,2127
1180,1,0,0.061741,0.261455,0.288555,0.297261,0,0,0,0.396066,2327,0.0053755,2327,0.012191,2327,0.378392,2327,0,0,0.0002378,2327,0.0095233,369,0.0018209,291,0.0077409,2327,0.0033814,2327,0.0102188,2327,0.0044559,16,0.0018917,30,0.0016096,2260,0.0106031,2327,0.0051781,2327,0.0014118,2327,0.0004784,2327,0.249528,2327,0,0,0.0710165,2327,0.175569,2327,857014,2327
1280,1,0,0.0432187,0.217808,0.28148,0.302824,0,0,0,0.428633,2527,0.0055617,2527,0.0131242,2527,0.40983,2527,0,0,0.0002611,2527,0.0099352,390,0.0019664,316,0.0084084,2527,0.003712,2527,0.0112431,2527,0.0044559,16,0.0018917,30,0.0017412,2456,0.0111738,2527,0.0057008,2527,0.0015376,2527,0.0005381,2527,0.272141,2527,0,0,0.0774971,2527,0.191419,2527,938329,2527
1380,1,0,0.0302531,0.180297,0.271362,0.373987,0,0,0,0.464472,2727,0.005848,2727,0.0140931,2727,0.444406,2727,0,0,0.0003156,2727,0.0110626,432,0.0020626,341,0.0091825,2727,0.004048,2727,0.0122972,2727,0.0044559,16,0.0018917,30,0.0018522,2631,0.0121778,2727,0.0064182,2727,0.0016517,2727,0.0006944,2727,0.295269,2727,0,0,0.0842252,2727,0.207536,2727,1019885,2727
1480,1,0,0.0211772,0.148473,0.259073,0.320361,0,0,0,0.500416,2927,0.0061377,2927,0.0151546,2927,0.47899,2927,0,0,0.0003794,2927,0.011967,469,0.0023286,366,0.0099285,2927,0.0043696,2927,0.0133484,2927,0.0044559,16,0.0018917,30,0.0019625,2806,0.0131569,2927,0.0071527,2927,0.001772,2927,0.0008381,2927,0.318837,2927,0,0,0.090731,2927,0.22429,2927,1104547,2927
1580,1,0,0.014824,0.121743,0.24534,0.383311,0,0,0,0.534885,3127,0.0064041,3127,0.016091,3127,0.512246,3127,0,0,0.0004348,3127,0.0126977,504,0.0024552,391,0.0106844,3127,0.0046969,3127,0.0144203,3127,0.0044559,16,0.0018917,30,0.0020756,2984,0.0140028,3127,0.0077843,3127,0.0019034,3127,0.0009581,3127,0.341929,3127,0,0,0.0971361,3127,0.240666,3127,1191695,3127
1680,1,0,0.0103768,0.0994698,0.230753,0.345824,0,0,0,0.57189,3327,0.0066819,3327,0.0170998,3327,0.547955,3327,0,0,0.0004737,3327,0.0133776,532,0.0025684,416,0.0115633,3327,0.0050239,3327,0.0155427,3327,0.0044559,16,0.0018917,30,0.0021974,3168,0.0147018,3327,0.0083762,3327,0.0020396,3327,0.0010645,3327,0.368448,3327,0,0,0.105402,3327,0.258597,3327,1280949,3327
1780,1,0,0.00726377,0.0810286,0.215781,0.319299,0,0,0,0.602095,3527,0.0068346,3527,0.0180604,3527,0.577038,3527,0,0,0.0004879,3527,0.0135804,545,0.0026685,441,0.0121836,3527,0.0053228,3527,0.0165487,3527,0.0044559,16,0.0018917,30,0.0023228,3368,0.0148541,3527,0.0086781,3527,0.0021816,3527,0.001085,3527,0.392431,3527,0,0,0.112169,3527,0.275462,3527,1370549,3527
1880,1,0,0.00508464,0.0658398,0.200787,0.297799,0,0,0,0.630828,3727,0.0069877,3727,0.0189347,3727,0.604734,3727,0,0,0.0005019,3727,0.0137479,557,0.0027654,466,0.0127821,3727,0.0056061,3727,0.0175245,3727,0.0044559,16,0.0018917,30,0.0024508,3568,0.0150031,3727,0.0089564,3727,0.0023107,3727,0.0011043,3727,0.415177,3727,0,0,0.118387,3727,0.291634,3727,1460149,3727
1980,1,0,0.00355925,0.0533837,0.186046,0.274385,0,0,0,0.659053,3927,0.0071383,3927,0.0198188,3927,0.631915,3927,0,0,0.0005164,3927,0.013923,570,0.0028575,491,0.0133515,3927,0.0058906,3927,0.0184772,3927,0.0044559,16,0.0018917,30,0.0025668,3768,0.0151493,3927,0.00924,3927,0.0024409,3927,0.001123,3927,0.437546,3927,0,0,0.124555,3927,0.307402,3927,1549749,3927
2080,1,0,0.00249147,0.0432053,0.171762,0.279272,0,0,0,0.686713,4127,0.0072855,4127,0.0206673,4127,0.658569,4127,0,0,0.0005315,4127,0.0140745,582,0.0029462,516,0.0139151,4127,0.0061652,4127,0.0194089,4127,0.0044559,16,0.0018917,30,0.0026853,3968,0.0152908,4127,0.0095284,4127,0.0025803,4127,0.0011418,4127,0.459373,4127,0,0,0.130346,4127,0.32308,4127,1639349,4127
2180,1,0,0.00174403,0.034913,0.158077,0.288533,0,0,0,0.71458,4327,0.0074327,4327,0.0215526,4327,0.685394,4327,0,0,0.0005452,4327,0.0142555,595,0.0030395,541,0.01448,4327,0.0064447,4327,0.0203265,4327,0.0044559,16,0.0018917,30,0.0028025,4168,0.0154421,4327,0.0098271,4327,0.002711,4327,0.0011584,4327,0.481349,4327,0,0,0.136229,4327,0.338789,4327,1728949,4327
