time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
234.5,1,0,0,0,0,0.153076,1,0,0,0.020596,358,0.0037591,358,0.0034698,358,0.0133521,358,0,0,2.27e-05,358,0.0001664,23,0.0001845,44,0.0007927,358,0.0002979,358,0.000512,358,0,0,0.0001985,6,0.0001998,353,0.0002434,358,0.0003315,358,0.0001891,358,2.75e-05,358,0.0045592,358,0,0,0.0033606,358,0.0010442,358,16832,358
334.5,1,15,4.5,0.9,0.09,0.214442,0,0,0,0.0428218,558,0.0039936,558,0.0061146,558,0.0326895,558,0,0,3.54e-05,558,0.0002611,35,0.0002593,69,0.0013153,558,0.0005854,558,0.0010295,558,0.0005475,1,0.0001985,6,0.0003513,552,0.0003896,558,0.0006223,558,0.0002859,558,4.05e-05,558,0.0109512,558,0,0,0.0059832,558,0.0046989,558,39182,558
434.5,1,0,3.15,1.35,0.216,0.131404,0,0,0,0.0564164,758,0.0041384,758,0.0085831,758,0.0436624,758,0,0,4.94e-05,758,0.0003501,48,0.0003557,94,0.0018452,758,0.0008588,758,0.001566,758,0.0005475,1,0.0001985,6,0.0004695,752,0.0005002,758,0.0009024,758,0.0004052,758,5.62e-05,758,0.0173749,758,0,0,0.0084405,758,0.0085482,758,63382,758
534.5,1,0,2.205,1.521,0.3465,0.131854,0,0,0,0.0696669,958,0.0042832,958,0.0109692,958,0.0543736,958,0,0,6.24e-05,958,0.0004409,60,0.0004484,119,0.0023449,958,0.0011183,958,0.0020996,958,0.0005475,1,0.0001985,6,0.0005857,952,0.0006109,958,0.0011764,958,0.0005267,958,7.21e-05,958,0.0236991,958,0,0,0.0108815,958,0.0123126,958,87582,958
634.5,1,0,1.5435,1.5255,0.4644,0.130854,0,0,0,0.0830339,1158,0.0044234,1158,0.0133597,1158,0.0651997,1158,0,0,7.36e-05,1158,0.0005307,73,0.0005384,144,0.0028467,1158,0.0013935,1158,0.0026259,1158,0.0005475,1,0.0001985,6,0.0007061,1152,0.0007275,1158,0.0014899,1158,0.0006503,1158,8.71e-05,1158,0.0300597,1158,0,0,0.0133617,1158,0.0160755,1158,111782,1158
734.5,1,0,1.08045,1.43649,0.561609,0.136891,0,0,0,0.0965642,1358,0.0045642,1358,0.015779,1358,0.0761598,1358,0,0,8.75e-05,1358,0.0006138,85,0.0006273,169,0.0033753,1358,0.0016616,1358,0.0031576,1358,0.0005475,1,0.0001985,6,0.0008293,1352,0.0008366,1358,0.0017683,1358,0.0007721,1358,0.0001039,1358,0.0364974,1358,0,0,0.0158515,1358,0.0199022,1358,135982,1358
834.5,1,0,0.756315,1.30046,0.635494,0.135679,0,0,0,0.110122,1558,0.0046976,1558,0.0181696,1558,0.0871854,1558,0,0,0.0001015,1558,0.0007014,98,0.0007187,194,0.0038712,1558,0.0019282,1558,0.0036787,1558,0.0005475,1,0.0001985,6,0.0009647,1552,0.0009467,1558,0.0020417,1558,0.0008963,1558,0.0001177,1558,0.0429449,1558,0,0,0.0183346,1558,0.0237475,1558,160182,1558
934.5,1,0,0.529421,1.14625,0.686569,0.143804,0,0,0,0.124517,1758,0.004837,1758,0.0206263,1758,0.0989747,1758,0,0,0.000116,1758,0.0007846,110,0.000812,219,0.0043815,1758,0.002204,1758,0.0042165,1758,0.0005475,1,0.0001985,6,0.001095,1752,0.0010592,1758,0.0023176,1758,0.001018,1758,0.0001319,1758,0.0495543,1758,0,0,0.0208411,1758,0.0277309,1758,184382,1758
1034.5,1,0,0.370594,0.991117,0.717024,0.138291,0,0,0,0.138714,1958,0.0049683,1958,0.023055,1958,0.110601,1958,0,0,0.0001304,1958,0.0008741,123,0.0008991,244,0.0048822,1958,0.002477,1958,0.0047549,1958,0.0005475,1,0.0001985,6,0.001213,1952,0.0011682,1958,0.0025966,1958,0.0011362,1958,0.0001472,1958,0.0559026,1958,0,0,0.0232957,1958,0.0315098,1958,208582,1958
1134.5,1,0,0.259416,0.844777,0.729799,0.150704,0,0,0,0.152702,2158,0.0051001,2158,0.0255391,2158,0.121965,2158,0,0,0.0001457,2158,0.0009545,135,0.000989,269,0.0053951,2158,0.0027462,2158,0.0052993,2158,0.0005475,1,0.0001985,6,0.0013304,2152,0.0012818,2158,0.0028786,2158,0.0012581,2158,0.0001621,2158,0.0623571,2158,0,0,0.0258043,2158,0.0353431,2158,232782,2158
