time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
78.5,1,0,0,0,0,0.120728,2,0,0,0.0077517,120,0.0020254,120,0.0004093,120,0.0053114,120,0,0,7.2e-06,120,6.61e-05,8,6.61e-05,15,0.0002686,120,9.12e-05,120,0.0001675,120,3.5e-06,1,0.0002105,6,7.52e-05,117,0.0001025,120,0.0001223,120,6.2e-05,120,1.64e-05,120,0.001379,120,0,0,0.0009617,120,0.0003641,120,5640,120
178.5,1,4,1.2,0.24,0.024,0.241233,2,0,0,0.0302024,320,0.0022565,320,0.0012588,320,0.0266715,320,0,0,2.28e-05,320,0.0004803,24,0.0001971,40,0.0008748,320,0.0003082,320,0.0007997,320,0.0009066,4,0.0012536,10,0.0002388,315,0.0008872,320,0.0004456,320,0.0001743,320,7.07e-05,320,0.01101,320,0,0,0.0038179,320,0.006952,320,54310,320
278.5,1,3,1.74,0.54,0.0756,0.361742,2,0,0,0.0610269,520,0.002799,520,0.0020484,520,0.056155,520,0,0,3.44e-05,520,0.0038103,158,0.0002912,65,0.0013956,520,0.0005119,520,0.0015063,520,0.0009066,4,0.0012536,10,0.0003599,515,0.00283,520,0.0006393,520,0.0002471,520,9.65e-05,520,0.0236433,520,0,0,0.0069439,520,0.0163238,520,134640,520
378.5,1,0,1.218,0.6756,0.1356,0.197651,1,0,0,0.0854204,720,0.0030715,720,0.002823,720,0.0794914,720,0,0,4.75e-05,720,0.0056539,228,0.0003838,90,0.0019421,720,0.0007226,720,0.002201,720,0.0009066,4,0.0012536,10,0.0004807,715,0.0038477,720,0.0008881,720,0.0003485,720,0.0001273,720,0.0369393,720,0,0,0.0104032,720,0.0259245,720,214545,720
478.5,1,0,0.8526,0.711,0.19314,0.188676,0,0,0,0.104467,920,0.0032252,920,0.0035956,920,0.0976025,920,0,0,6.19e-05,920,0.0058065,241,0.0004756,115,0.0024884,920,0.0009166,920,0.002888,920,0.0009066,4,0.0013187,11,0.0006005,915,0.0040055,920,0.0011333,920,0.0004718,920,0.0001469,920,0.0503447,920,0,0,0.0139179,920,0.0355584,920,293961,920
578.5,1,0,0.59682,0.688164,0.242642,0.231126,0,0,0,0.124206,1120,0.0033932,1120,0.0044112,1120,0.11635,1120,0,0,7.32e-05,1120,0.0059581,254,0.0005748,140,0.0030455,1120,0.0011147,1120,0.0036174,1120,0.0009066,4,0.0013187,11,0.000723,1115,0.0042066,1120,0.0014071,1120,0.0005984,1120,0.0001625,1120,0.0641326,1120,0,0,0.017552,1120,0.0454658,1120,373681,1120
678.5,1,0,0.417774,0.634086,0.281787,0.420367,0,0,0,0.150103,1320,0.0036281,1320,0.0052052,1320,0.141209,1320,0,0,8.54e-05,1320,0.0064179,270,0.0008268,165,0.0035583,1320,0.001302,1320,0.0043014,1320,0.0030451,12,0.0013187,11,0.000865,1307,0.0055529,1320,0.0018154,1320,0.0006999,1320,0.0001875,1320,0.078101,1320,0,0,0.0211129,1320,0.0556294,1320,450051,1320
778.5,1,0,0.292442,0.565757,0.310184,0.272779,0,0,0,0.177659,1520,0.0037827,1520,0.0060771,1520,0.167728,1520,0,0,9.82e-05,1520,0.0068443,285,0.0009566,190,0.0041343,1520,0.0014903,1520,0.0050872,1520,0.0036318,14,0.0013187,11,0.0009858,1505,0.0059694,1520,0.0021605,1520,0.000817,1520,0.0002117,1520,0.0973751,1520,0,0,0.0254793,1520,0.0702673,1520,529867,1520
878.5,1,0,0.204709,0.493548,0.32852,0.247316,0,0,0,0.204683,1720,0.0039334,1720,0.0069251,1720,0.193744,1720,0,0,0.0001118,1720,0.0070049,297,0.0010566,215,0.00469,1720,0.0016884,1720,0.0058693,1720,0.0036318,14,0.0013187,11,0.0011055,1705,0.0061633,1720,0.0024484,1720,0.0009369,1720,0.0002269,1720,0.117006,1720,0,0,0.0301507,1720,0.0849182,1720,613747,1720
978.5,1,0,0.143296,0.423497,0.338018,0.31688,0,0,0,0.231005,1920,0.0040838,1920,0.0077271,1920,0.219103,1920,0,0,0.0001223,1920,0.0072363,311,0.001146,240,0.0052414,1920,0.0018835,1920,0.0066221,1920,0.0038882,15,0.0013187,11,0.0012236,1904,0.0063537,1920,0.0027317,1920,0.0010639,1920,0.0002439,1920,0.136348,1920,0,0,0.0347393,1920,0.0993616,1920,697474,1920
