time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,in_progress,in_callback,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
224.5,1,0,0,0,0,0.168579,1,0,0,0.0208818,340,0.0028847,340,0.0038717,340,0.0141118,340,0,0,2.08e-05,340,0.000162,22,0.0001789,42,0.0007908,340,0.0002237,340,0.0004482,340,0,0,0.0002476,6,0.0001951,327,0.0003186,340,0.0003669,340,0.000201,340,2.65e-05,340,0.0059446,340,0,0,0.0047005,340,0.001083,340,15986,340
324.5,1,16,4.8,0.96,0.096,0.185045,0,0,0,0.0415629,540,0.0030758,540,0.0067058,540,0.0317568,540,0,0,3.41e-05,540,0.0002741,36,0.0002653,67,0.0013272,540,0.0004928,540,0.00096,540,0.0004354,1,0.0002476,6,0.0003323,526,0.0004753,540,0.0006494,540,0.0003128,540,4.24e-05,540,0.0131536,540,0,0,0.0080504,540,0.0048171,540,38336,540
424.5,1,4,4.56,1.68,0.2544,0.258951,1,0,0,0.0635054,740,0.0033254,740,0.0094781,740,0.0506674,740,0,0,4.78e-05,740,0.0006458,49,0.0004156,92,0.0019815,740,0.0007655,740,0.0016473,740,0.0008087,3,0.0014355,12,0.0005003,725,0.0011449,740,0.0009417,740,0.0004318,740,6.59e-05,740,0.0240165,740,0,0,0.0123961,740,0.0111757,740,80086,740
524.5,1,0,3.192,1.9824,0.4272,0.108876,1,0,0,0.0884295,940,0.0034984,940,0.0123501,940,0.0725364,940,0,0,6.05e-05,940,0.0009927,65,0.0005305,117,0.002538,940,0.0010703,940,0.0025255,940,0.0012733,7,0.0014355,12,0.0006463,922,0.0016713,940,0.0012805,940,0.0005636,940,0.0001015,940,0.0395802,940,0,0,0.0177126,940,0.0211733,940,144606,940
624.5,1,0,2.2344,2.0328,0.58776,0.168064,1,0,0,0.103529,1140,0.0036495,1140,0.0150858,1140,0.0847391,1140,0,0,7.24e-05,1140,0.0011053,78,0.0006211,142,0.0030627,1140,0.0013221,1140,0.0029918,1140,0.0016855,8,0.0014355,12,0.000788,1121,0.0018646,1140,0.0015573,1140,0.0007054,1140,0.0001165,1140,0.0470261,1140,0,0,0.0215678,1140,0.0246154,1140,166142,1140
724.5,1,0,1.56408,1.93906,0.72289,0.22784,0,0,0,0.137119,1340,0.0037949,1340,0.0176259,1340,0.115632,1340,0,0,8.68e-05,1340,0.0046297,201,0.0007481,167,0.0036968,1340,0.001637,1340,0.0039331,1340,0.002702,10,0.0014722,13,0.0009519,1320,0.0037922,1340,0.0017866,1340,0.0007908,1340,0.0001406,1340,0.0616167,1340,0,0,0.0271222,1340,0.0334803,1340,236044,1340
824.5,1,0,1.09486,1.77022,0.827622,0.304015,0,0,0,0.17068,1540,0.0039511,1540,0.0201349,1540,0.146518,1540,0,0,9.92e-05,1540,0.0089448,335,0.0008329,192,0.0042914,1540,0.0019434,1540,0.0048732,1540,0.002702,10,0.0014722,13,0.001089,1520,0.0055882,1540,0.0020064,1540,0.0008751,1540,0.0001686,1540,0.0759923,1540,0,0,0.0324487,1540,0.0423708,1540,305942,1540
924.5,1,0,0.766399,1.56945,0.901805,0.290578,0,0,0,0.194114,1740,0.0041047,1740,0.0227511,1740,0.16717,1740,0,0,0.0001099,1740,0.0092271,353,0.0009382,217,0.0048904,1740,0.0022191,1740,0.0057941,1740,0.002702,10,0.0015038,14,0.0012244,1720,0.0059666,1740,0.0023136,1740,0.0010197,1740,0.0001911,1740,0.0913989,1740,0,0,0.0383441,1740,0.0515921,1740,375629,1740
1024.5,1,0,0.536479,1.36286,0.947911,0.354215,0,0,0,0.240399,1940,0.0042885,1940,0.0253513,1940,0.210661,1940,0,0,0.0001226,1940,0.0094764,366,0.0011378,242,0.0053835,1940,0.0025643,1940,0.0073891,1940,0.0100533,25,0.0015038,14,0.0014283,1905,0.010228,1940,0.0027475,1940,0.0011399,1940,0.000212,1940,0.115073,1940,0,0,0.0454083,1940,0.067782,1940,475158,1940
1124.5,1,1,0.675536,1.22539,0.975659,0.394341,0,0,0,0.279976,2140,0.0044408,2140,0.0280368,2140,0.24739,2140,0,0,0.0001351,2140,0.009859,380,0.0012443,267,0.0059802,2140,0.0028998,2140,0.0094749,2140,0.0106583,27,0.0015038,14,0.0015564,2103,0.0105951,2140,0.0030583,2140,0.0013103,2140,0.0002401,2140,0.143636,2140,0,0,0.0547493,2140,0.0864495,2140,596205,2140
